pe_id,throughput,data_size,epoch_size,group,op,num_pe
20,223585.36,1,64,atomic,fetch-add32,32
21,222899.84,1,64,atomic,fetch-add32,32
22,223669.84,1,64,atomic,fetch-add32,32
23,223724.39,1,64,atomic,fetch-add32,32
24,224641.56,1,64,atomic,fetch-add32,32
25,224568.07,1,64,atomic,fetch-add32,32
26,224463.92,1,64,atomic,fetch-add32,32
27,223795.76,1,64,atomic,fetch-add32,32
28,219802.63,1,64,atomic,fetch-add32,32
29,223794.45,1,64,atomic,fetch-add32,32
30,223130.00,1,64,atomic,fetch-add32,32
31,222195.05,1,64,atomic,fetch-add32,32
0,217997.72,1,128,atomic,fetch-add32,32
1,228095.54,1,128,atomic,fetch-add32,32
2,227974.98,1,128,atomic,fetch-add32,32
3,218038.24,1,128,atomic,fetch-add32,32
4,227246.75,1,128,atomic,fetch-add32,32
5,227906.38,1,128,atomic,fetch-add32,32
6,219510.71,1,128,atomic,fetch-add32,32
7,219583.76,1,128,atomic,fetch-add32,32
8,227072.36,1,128,atomic,fetch-add32,32
9,219071.35,1,128,atomic,fetch-add32,32
10,218397.67,1,128,atomic,fetch-add32,32
11,219046.38,1,128,atomic,fetch-add32,32
12,228188.08,1,128,atomic,fetch-add32,32
13,218580.61,1,128,atomic,fetch-add32,32
14,219832.03,1,128,atomic,fetch-add32,32
15,227632.49,1,128,atomic,fetch-add32,32
16,218872.87,1,128,atomic,fetch-add32,32
17,218097.52,1,128,atomic,fetch-add32,32
18,228147.46,1,128,atomic,fetch-add32,32
19,220024.57,1,128,atomic,fetch-add32,32
20,218457.45,1,128,atomic,fetch-add32,32
21,218471.95,1,128,atomic,fetch-add32,32
22,219156.32,1,128,atomic,fetch-add32,32
23,218873.18,1,128,atomic,fetch-add32,32
24,218991.49,1,128,atomic,fetch-add32,32
25,219085.61,1,128,atomic,fetch-add32,32
26,218739.37,1,128,atomic,fetch-add32,32
27,218041.84,1,128,atomic,fetch-add32,32
28,218080.19,1,128,atomic,fetch-add32,32
29,219297.13,1,128,atomic,fetch-add32,32
30,218268.64,1,128,atomic,fetch-add32,32
31,226867.15,1,128,atomic,fetch-add32,32
0,463115.36,1,1,atomic,fetch-add64,1
0,455522.34,1,2,atomic,fetch-add64,1
0,455578.80,1,4,atomic,fetch-add64,1
0,457251.91,1,8,atomic,fetch-add64,1
0,457614.75,1,16,atomic,fetch-add64,1
0,460805.09,1,32,atomic,fetch-add64,1
0,462643.13,1,64,atomic,fetch-add64,1
0,467424.98,1,128,atomic,fetch-add64,1
0,443914.23,1,1,atomic,fetch-add64,2
1,443976.91,1,1,atomic,fetch-add64,2
0,480451.79,1,2,atomic,fetch-add64,2
1,480325.09,1,2,atomic,fetch-add64,2
0,479354.24,1,4,atomic,fetch-add64,2
1,479260.91,1,4,atomic,fetch-add64,2
0,482431.74,1,8,atomic,fetch-add64,2
1,482335.81,1,8,atomic,fetch-add64,2
0,482613.42,1,16,atomic,fetch-add64,2
1,482597.76,1,16,atomic,fetch-add64,2
0,485203.28,1,32,atomic,fetch-add64,2
1,485984.77,1,32,atomic,fetch-add64,2
0,482440.98,1,64,atomic,fetch-add64,2
1,482761.84,1,64,atomic,fetch-add64,2
0,498434.31,1,128,atomic,fetch-add64,2
1,498641.12,1,128,atomic,fetch-add64,2
0,298378.44,1,1,atomic,fetch-add64,4
1,298430.98,1,1,atomic,fetch-add64,4
2,298416.21,1,1,atomic,fetch-add64,4
3,298396.94,1,1,atomic,fetch-add64,4
0,462276.82,1,2,atomic,fetch-add64,4
1,462205.42,1,2,atomic,fetch-add64,4
2,462135.91,1,2,atomic,fetch-add64,4
3,462269.86,1,2,atomic,fetch-add64,4
0,474242.92,1,4,atomic,fetch-add64,4
1,474234.66,1,4,atomic,fetch-add64,4
2,474320.42,1,4,atomic,fetch-add64,4
3,474246.28,1,4,atomic,fetch-add64,4
0,477551.49,1,8,atomic,fetch-add64,4
1,477588.47,1,8,atomic,fetch-add64,4
2,477398.76,1,8,atomic,fetch-add64,4
3,477741.57,1,8,atomic,fetch-add64,4
0,478744.80,1,16,atomic,fetch-add64,4
1,479412.08,1,16,atomic,fetch-add64,4
2,479406.40,1,16,atomic,fetch-add64,4
3,479417.96,1,16,atomic,fetch-add64,4
0,481894.84,1,32,atomic,fetch-add64,4
1,482378.73,1,32,atomic,fetch-add64,4
2,481990.28,1,32,atomic,fetch-add64,4
3,482183.40,1,32,atomic,fetch-add64,4
0,484550.94,1,64,atomic,fetch-add64,4
1,485622.42,1,64,atomic,fetch-add64,4
2,485526.31,1,64,atomic,fetch-add64,4
3,485720.85,1,64,atomic,fetch-add64,4
0,490124.15,1,128,atomic,fetch-add64,4
1,490781.66,1,128,atomic,fetch-add64,4
2,489266.87,1,128,atomic,fetch-add64,4
