pe_id,throughput,data_size,epoch_size,group,op,num_pe
14,48991.64,1,16,atomic,fetch-add32,32
15,49102.86,1,16,atomic,fetch-add32,32
16,49030.03,1,16,atomic,fetch-add32,32
17,49007.46,1,16,atomic,fetch-add32,32
18,48945.95,1,16,atomic,fetch-add32,32
19,48919.82,1,16,atomic,fetch-add32,32
20,48917.68,1,16,atomic,fetch-add32,32
21,48899.87,1,16,atomic,fetch-add32,32
22,48894.23,1,16,atomic,fetch-add32,32
23,49226.39,1,16,atomic,fetch-add32,32
24,48921.88,1,16,atomic,fetch-add32,32
25,48978.12,1,16,atomic,fetch-add32,32
26,48866.97,1,16,atomic,fetch-add32,32
27,49136.81,1,16,atomic,fetch-add32,32
28,48884.52,1,16,atomic,fetch-add32,32
29,49299.44,1,16,atomic,fetch-add32,32
30,49067.90,1,16,atomic,fetch-add32,32
31,49054.44,1,16,atomic,fetch-add32,32
0,51606.27,1,32,atomic,fetch-add32,32
1,58155.79,1,32,atomic,fetch-add32,32
2,51791.71,1,32,atomic,fetch-add32,32
3,51642.15,1,32,atomic,fetch-add32,32
4,51962.22,1,32,atomic,fetch-add32,32
5,51707.13,1,32,atomic,fetch-add32,32
6,51837.62,1,32,atomic,fetch-add32,32
7,51894.75,1,32,atomic,fetch-add32,32
8,51836.85,1,32,atomic,fetch-add32,32
9,58196.31,1,32,atomic,fetch-add32,32
10,51623.99,1,32,atomic,fetch-add32,32
11,51669.33,1,32,atomic,fetch-add32,32
12,51875.74,1,32,atomic,fetch-add32,32
13,51820.99,1,32,atomic,fetch-add32,32
14,51943.77,1,32,atomic,fetch-add32,32
15,51944.60,1,32,atomic,fetch-add32,32
16,51636.62,1,32,atomic,fetch-add32,32
17,51896.64,1,32,atomic,fetch-add32,32
18,51775.72,1,32,atomic,fetch-add32,32
19,51781.85,1,32,atomic,fetch-add32,32
20,58155.31,1,32,atomic,fetch-add32,32
21,51670.43,1,32,atomic,fetch-add32,32
22,51994.45,1,32,atomic,fetch-add32,32
23,52083.58,1,32,atomic,fetch-add32,32
24,51721.05,1,32,atomic,fetch-add32,32
25,51987.09,1,32,atomic,fetch-add32,32
26,51690.12,1,32,atomic,fetch-add32,32
27,51755.18,1,32,atomic,fetch-add32,32
28,51706.93,1,32,atomic,fetch-add32,32
29,51942.16,1,32,atomic,fetch-add32,32
30,51638.73,1,32,atomic,fetch-add32,32
31,58143.84,1,32,atomic,fetch-add32,32
0,56328.73,1,64,atomic,fetch-add32,32
1,56414.56,1,64,atomic,fetch-add32,32
2,56899.28,1,64,atomic,fetch-add32,32
3,56479.88,1,64,atomic,fetch-add32,32
